user,location,text
kpoper834,,"ASÍ NO SEAN DE COLOMBIA, COPIEN Y PEGUEN 

S.O.S COLOMBIA 🇨🇴

@ONUHumanRights
@TembloresOng
@DefensoriaCol
@PGN_COL… https://t.co/Lk9S8bgGGS"
Habbo_ValenG,Bogotá - Colombia ,"@tortuuss @mateo_g_e Fuerza Colombia
 #DuqueRenuncie #ColombiaSOS #ColombiaEnDictadura  #NosEstanMatando… https://t.co/FcYchopwDT"
Younian6,,"En México estamos levantando la voz por la negligencia y falta de empatía por parte de nuestros ""representantes"". Y… https://t.co/nfEwSyx2pV"
kalycha23,,"Poesía!!
👌
#SOSColombiaDDHH
Falta ver como le sale la entrevista a la bestia esta noche en #CNN #UribeAsesino https://t.co/TxYArFPqnJ"
SebastianKcz,,Policia nacional? Más bien águilas negras. #SOSColombiaDDHH
Maquirogar,,.@ONU_es: Intervenga YA para detener las violaciones a los derechos humanos promovida por el Gobierno Colombiano… https://t.co/szZzEcopZB
colectivoaboga,colombia,"https://t.co/kFjI8hwec0

INGRESAR A AUDIENCIA EN  LA ONU Y COMENTAR #SOSCOLOMBIADDHH

@Betocoralg @CesarPachonAgro… https://t.co/vBINOAAd0f"
Han38698410,,@Biqueen08 @ONUHumanRights @TembloresOng @DefensoriaCol @PGN_COL @GobiernoBTA @CorteIDH @elpais_america @bbcmundo… https://t.co/48yumP8caM
MaritMH28_TK,Perú,Soy de Perú 🇵🇪 pero mi corazón está con Colombia 🇨🇴                                       #SOSColombiaDDHH https://t.co/7w9xUNywkB
Jimpinku,🌌 Life goes on,"@iTAEGUK_ S.O.S COLOMBIA Bandera de Colombia

@ONUHumanRights

@TembloresOng

@DefensoriaCol

@PGN_COL… https://t.co/lfQBLROsUg"
Mariaisa1990,"Bogotá, D.C., Colombia",.@ONU_es: Intervenga YA para detener las violaciones a los derechos humanos promovida por el Gobierno Colombiano… https://t.co/ppo9cAgy87
YajairaArvalo2,,Llevamos siete días de paro y se ha formado una masacre gracias a la fuerza pública que supuestamente está para pro… https://t.co/ChV7AspUDo
srtmayorga,Hell,"Si tiene links de las trasmisiones de las manifestaciones, por favor compartir, no dejen solos a los muchachos que… https://t.co/gsFGFIYo0z"
Thebursinxhande,Colombia,"Quienes quieran ayudarnos, pueden hacerlo entrando a este live y comentando SOS COLOMBIA 
Gracias!! 🙏🏼
#SOSColombia… https://t.co/no8iKKeHvT"
jostem23,,@SARGENTOCHALA Asi se habla caray 👏🏼👏🏼👏🏼 se siguen sumando #SOSColombiaDDHH #ParoNacionalIndefinido no mas injustas… https://t.co/xvbQ1OGRZk
newordenco,"Bogotá, D.C., Colombia","#SOSColombiaDDHH Nos Matan Cómo Cucarachas.
Hasta desde en Antártida Nos ven jodidos
#SOSColombiaNosEstanMatando… https://t.co/kK9FQI6qnW"
taedolIz,ella | fan account ,.@ONU_es: Intervenga YA para detener las violaciones a los derechos humanos promovida por el Gobierno Colombiano… https://t.co/cJ0P4REZX6
ANLIRORI,,"Necesitamos que el más grande pelee por nosotros como siempre pero esta vez más rápido, papito lindo please.. Nos e… https://t.co/EXro7YUJ4w"
andreslasso,Colombia,Help!!! Sos Colombia #SOSColombiaDDHH
mouh2wtf,,"#SOSColombiaDDHH
 ""vandalismo es que nos tiremo' nosotro mismo por defender a los que nos llevaron al abismo, vanda… https://t.co/SHMtBtto5f"
joaccol,En el barco de Blondel,"Muchas fuerzas hermanos colombianos, resistan un poquito mas 🙏🏽🇦🇷🇨🇴!
#SosColombiaddhh https://t.co/D2cTYpEaOb"
nh4gn,,Se necesita más presión internacional para parar la masacre #SOSColombiaDDHH
cacherhelena,,"COMPARTAN COMPARTAN 🇨🇴🙏
#SOSColombiaDDHH
#ParoNacional4M #FuerzaCOLOMBIA
#SOSColombiaEnDictadura #ColombiaSOS… https://t.co/HlminuJDDn"
Ca_somniarmy,Colombia,"ESTE ES EL EN VIVO EN SAN PÍO 

https://t.co/t3xM6zMHni

#SOSColombiaDDHH #ParoNacional4M 
#SOSColombia #SOSColombiaNosEstanMatando"
JournalDavidP,,"Infinitas gracias a la persona que tomó esta foto 👏

Las nuevas generaciones somos las encargadas de superar ese so… https://t.co/oM9m64N56t"
Mauro_cardenal,"Bogota, Colombia","Que todo el mundo lo sepa; por orden de Uribe y los oscuros hilos que gobiernan este país, Duque ejecutó el plan. L… https://t.co/rLkrJ5kQ6x"
tetepathykoo,🇨🇴 she/her,"@jadevcut ⚠️SOS COLOMBIA⚠️
@ONUHumanRights
@ONU_es
@TembloresOng
@DefenderLiberta
@HRI_ONG
@DefensoriaCol
@PGN_COL… https://t.co/EP1lgUsF57"
Pipeleaks,"Bogotá, Colombia","@YoAlejoV Gracias a Dios tengo la conciencia tranquila que desde que tengo derecho al voto, Nunca lo he hecho por q… https://t.co/OJKzqMYx57"
Linkka03,,Usar #SOSColombiaNosEstanMatando #soscolombia #SOSColombiaDDHH
Pudu_28,Antartica,"Puede que lo que diga sea una estupidez y estoy segura que todos lo saben, pero no está de más recordarlo:
- Si los… https://t.co/KdhV2y1bXu"
avrtdmlsp2018,,"Eso @sergio_fajardo demuestre que si votamos por Ud Colombia seguirá en la misma, debería darle vergüenza sacar su… https://t.co/XarDzxVQoH"
jcmateus86,"Bogotá, D.C., Colombia","#SOSColombiaDDHH. @IntlCrimCourt @ONU_derechos: Firma para que la @CIDH judicialice a Ivan Duque, por crímenes de l… https://t.co/xTvAFkqIqc"
BenavidesDavian,"Barranquilla, Colombia",Maldito el policía que Levante sus armas contra el pueblo #SOSColombiaDDHH #SOSColombiaNosEstanMatando #ParoNacional4M
Nei_Prieto,Bogota ,"Gracias por alzar sus voces 💜💜
#SOSColombiaDDHH https://t.co/QvSHWCpafj"
Clarargonzales,,"Hoy la mierda es en Bucaramanga y Bogotá
Hagamos voz que todo el mundo tenga los ojos alla #SOSColombiaDDHH #SosColombia #ColombiaSos"
onlymoonlxl,she/her🐝,"CADI DIA ESTA PEOR TODO, COLOMBIA UNIDA PUEDE CON TODO
S.O.S COLOMBIA 🇨🇴
@ONUHumanRights
@TembloresOng… https://t.co/ZW2xaQNyVy"
RanchoHidden,,"Por más que respire algo agradable, me perfume, heche aroma o prenda un incienso, mi querido latinoamérica no deja… https://t.co/IDMvyO9n6T"
Slyces2,,"En latinoamérica no se vive, se sobrevive.

#SOSColombiaDDHH
#MexicoDeLuto
#FuerzaCOLOMBIA
#FuerzaMexico
🇬🇹🇨🇴🇲🇽 https://t.co/UZEgn5MaPw"
yudypaola97,,"Mis respetos y admiración profunda para aquellos compañeros que están en estos momentos en primera línea.
#Resistencia
#SOSColombiaDDHH"
armandotokarev,,- #Australia  -Colombianos en Sidney ( Town hall) manifestándose en apoyo al #ParoNacional bajo la consigna de… https://t.co/NzHgp8vzgV
Frxg97,,"@powerfullwitch_ SE VE, SE SIENTE, ANONYMOUS ESTÁ PRESENTE

#SOSColombiaDDHH 
S.O.S COLOMBIA 🇨🇴
#SOSColombiaDDHH… https://t.co/vfKNk8JJoF"
ocean94girl,,"@RevistaSemana Tan berraco el general zapateiro que dice si no somete a cali en 24 horas renuncia, mejor vaya a som… https://t.co/ic2L5GBW4S"
GGML2918,she ║🇨🇴,"NOS ESTÁN MATANDO.

#SOSColombiaDDHH 
https://t.co/8Casxy1z9s"
SaldaJuanG,,"Los que hicieron esto son tan criminales como los asesinos contra los que protestan.
Ojalá los encuentren y los hag… https://t.co/IxA6pqjpjk"
LYayaOrtiz,Bogota,"Esto se salió de control, policías que se aprovechan de esta situación y un presiente que no es responsable con sus… https://t.co/VDtlBsimcE"
Eischosta,"Montréal, Québec",Es decir que no puede hablar @IvanDuque vea crie cuervos... bueno pero subpresidente puede? La libertad de opinar d… https://t.co/mtljT4es0C
clamer24,,#SOSColombiaDDHH apoyo total @GustavoBolivar
leonardografico,colombia,"Están disparando y arrojando gases lacrimógenos en Villamil - Girón, hay niños y adultos mayores con problemas resp… https://t.co/6bliUXLCHM"
rogerdouglascm,BARRANQUILLA,Desde el Barrio San José de la ciudad de Barranquilla apoyamos el Paro Nacional...... un CALDEROLAZO a nuestro modo… https://t.co/BkZMnghlwB
twtemma,"La Rioja, Argentina","NO IMPORTA LOS SEGUIDORES QUE TENGAS, POR FAVOR DIFUNDE
 ❤️‍🔥 🇨🇴 BASTA YA!!!

 #SOSColombiaDDHH… https://t.co/nALyf0Saja"
miguelzt36,"Bucaramanga, Colombia","Y la horrible noche no ha cesado.
#SOSColombiaDDHH https://t.co/aoATXva2Jt"
danielaguarin5,Colombia ,"A Nicolás lo mató el Esmad, también a Dylan, que no se nos olvide.
#NosEstanMatando #SOSColmbia #SOSColombiaDDHH… https://t.co/qR25rkkMxM"
johnjmontoyaz,,@MafeCarrascal Ya faltaba que la iglesia se pronunciará #SOSColombiaDDHH #NosEstanMatando #ColombiaEnAlertaRoja
stefaco,"Cali, Valle del Cauca",@DonIzquierdo_ Necesitamos los nombres y los partidos para tenerlos en cuenta!!! #SOSColombiaDDHH
martwinsxbog,tk♡,🚨⚠️ ATENCIÓN: es necesario que COPIEN Y PEGUEN la lista de manifestantes desaparecidos durante el #ParoNacional4M e… https://t.co/e0U5kjxrv4
Han38698410,,@teamkxarii @elpulparindodEm @ONUHumanRights @TembloresOng @DefensoriaCol @PGN_COL @GobiernoBTA @CorteIDH @bbcmundo… https://t.co/DhVmkBWDkG
MarcosPsuvBnas, Barinas-Venezuela,"Mis más sincero sentir a los familiares de los heridos y fallecidos de la hermana #Colombia, que han salido a las c… https://t.co/ENwGeoLvrP"
Darkvid21,"Ensenada, Baja California","@Jahfrann No soy de Colombia, pero aun así tengo miedo.
@ONU_es
@onucolombia 
@ONU_derechos 
@CIDH 
@CNNEE 
@cnnbrk… https://t.co/s8NdSO4TVS"
RED_OBRERA,"Caracas, Venezuela","#4Mayo 
#SOSColombiaDDHH 
#DuqueAsesino 
#FuerzaCOLOMBIA 

#Venezuela fortalece sus instituciones gracias a la nuev… https://t.co/immq4DsWUc"
JUANCAELBROKY,Colombia,"Desde Santiago, Chile, las personas se manifiestan en apoyo al Paro Nacional #ParoNacional4M… https://t.co/sfUiZYvpfq"
aliasyorki,Medellín,"#SOSColombiaDDHH #NosEstanMatando #ColombiaResiste 

Cuánto más de este gobierno criminal? 

#SOSColombiaEnDictadura"
DirectordeOper1,,"“En Colombia no hay garantía para la vida, ni para la integridad, ni para el ejercicio libre de la protesta”: Tembl… https://t.co/oCZSUdfsmN"
