user,location,text,sentiment,probability
geriron85,Bogota,@CaracolRadio #Anonymous debería de hacer caer todos los medios de comunicación q hacen parte del sistema corrupto… https://t.co/nUF2awdIdA,Negativo,48
Lucascapponi_,"Hurlingham, Argentina","Otra vez con esta boludez? Paren esa máquina de humo.
#Anonymous https://t.co/sNPmT7kazG",Positivo,63
Ocampo__01,,#Anonymous MIL GRACIAS EN ESTO NO ESTAMOS SOLOS 🇦🇲💪🏼 https://t.co/RHivj0dZGk,Positivo,86
Atsuko_Lilith,"Envigado, Colombia","COLOMBIA DESPERTÓ!
#SOSColombiaDDHH #SOSColombiaNosEstanMatando #NosEstanMatando #Anonymous #ParoNacional… https://t.co/KbTtfAGbWj",Positivo,65
CSarahelen, Colombia,#Anonymous debería intervenir en prevención y acción y colocar los vídeos de la masacre de los militares.,Positivo,59
Jeimisanchez4,,#Anonymous Y SI MEJOR TIRAS  EL PROGRAMA DE DUQUE Y MUESTRAS AL MUNDO LOS VIDEOS DE ABUSO POLICIAL EN #Colombia 💛💙❤… https://t.co/K4LtmMp5Vz,Positivo,78
cesardque,cali-colombia,"#Anonymous
cierren las cuentas de el paraco de Uribe y de el presidente",Positivo,65
Andrea02Cp,,"Cada vez que #Anonymous hace un tweet: 
🥺 https://t.co/qx6jykAzJV",Positivo,52
AceKarito,,HACKEARON LA PAGINA DE LA PRESIDENCIA DE LA REPUBLICA  #Anonymous,Positivo,61
JuanLombana_,"Cartagena, Colombia",Esperando que #Anonymous tumbe Caracol y Rcn 🕯️🕯️🕯️,Positivo,64
Juandi2341,,#Anonymous será que pueden también hackear revista semana? Son la propaganda del uribismo,Positivo,60
LuisVillacobRz,"Barranquilla, Colombia",#Anonymous borra la deuda con el icetex 🙏🏼,Negativo,60
Mawacali,Santiago de Cali.,No olvidar borrar la base de datos de Bancolombia 🙏 #Anonymous,Positivo,55
Jeffers01218884,,"Que curioso #Anonymous amenazó al gobierno colombiano y ya hackearon la página del senado, el ejército nacional y p… https://t.co/ZtGU0acAJ2",Positivo,58
DuvanVillanuev2,"Florencia - Caquetá, Colombia",@SoyCarlosDiaz_ Por fa #Anonymous tengo que pagar 1.400.000 antes del 12 de mayo,Positivo,50
LeonardoBorCua1,"Santa Marta, Colombia",#Anonymous te agradecería que nos eliminaras a todos los colombiano que hacemos parte de la base de datos de Data C… https://t.co/ZiaNaF6D8q,Positivo,61
alexa10969,,"VAYAN A DAR FUERZAS EN LA United Nations #Anonymous

https://t.co/GS5kXVyGPg",Positivo,64
